filename,class,class_index,width,height,aspect_ratio,is_square,mean_R,std_R,min_R,max_R,skew_R,kurt_R,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,hist_R_8,hist_R_9,hist_R_10,hist_R_11,hist_R_12,hist_R_13,hist_R_14,hist_R_15,mean_G,std_G,min_G,max_G,skew_G,kurt_G,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_G_8,hist_G_9,hist_G_10,hist_G_11,hist_G_12,hist_G_13,hist_G_14,hist_G_15,mean_B,std_B,min_B,max_B,skew_B,kurt_B,hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_B_8,hist_B_9,hist_B_10,hist_B_11,hist_B_12,hist_B_13,hist_B_14,hist_B_15,mean_H,std_H,skew_H,kurt_H,mean_S,std_S,skew_S,kurt_S,mean_V,std_V,skew_V,kurt_V,entropy,sobel,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,ASM_0,ASM_45,ASM_90,ASM_135
aug_0_1015.jpg,Cloudy,0,299,168,1.78,False,79.2367216117216,47.20239333888692,0,247,0.7083690649506398,0.1863550426742111,0.00305,0.00733,0.00865,0.00708,0.00848,0.00673,0.00681,0.00564,0.00309,0.00186,0.00125,0.00094,0.001,0.00063,0.00017,3e-05,124.30313346074216,33.742466610048965,52,246,0.5453397302178086,0.34595590588035074,0.0,0.0,0.0,0.00132,0.00366,0.00791,0.00955,0.01285,0.01185,0.00737,0.00342,0.00192,0.00138,0.00114,0.00031,4e-05,172.63680522376174,21.974050428405285,110,255,0.28331265979493125,-0.23447399398990187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078,0.00449,0.01362,0.01715,0.01375,0.0087,0.00344,0.0007,0.00011,0.5821449727642655,0.0356216091673692,-8.707190380262206,101.9829464341493,0.552422526024056,0.2335286560829088,-0.18142137984288675,-0.7856027723401637,0.677227000053087,0.08661768832164816,0.3044095253392259,-0.19381744617076446,14.215374397909518,0.028090117381737417,19.25378,55.23488,44.05604,64.74418,2.87083,4.8469,4.25258,5.33394,0.35368,0.23937,0.29385,0.22345,0.02941,0.02306,0.02622,0.02222,0.99211,0.97739,0.98195,0.9735,0.00086,0.00053,0.00069,0.00049
aug_0_1037.jpg,Cloudy,0,259,194,1.34,False,124.1119293078056,60.31724276605286,0,255,0.21417925571327912,-0.7280635525453456,0.00208,0.00114,0.0031,0.00281,0.00528,0.00873,0.00674,0.00585,0.00514,0.00371,0.00368,0.00366,0.00333,0.00305,0.00286,0.00159,117.33925088564264,56.44113872043137,0,249,0.25363750674765423,-0.683090733912664,0.00201,0.00129,0.00331,0.003,0.00665,0.00904,0.00743,0.00607,0.00442,0.00336,0.00432,0.00358,0.00304,0.00294,0.00215,0.00011,123.28879910838674,53.48292179693434,10,252,0.23288840752144557,-0.689039635561103,0.00018,0.00223,0.00177,0.00376,0.00463,0.0087,0.00839,0.00681,0.00535,0.00386,0.00464,0.0039,0.00317,0.00316,0.00209,0.00011,0.7036827544750437,0.2959094528967933,-1.590098974185515,1.287997204394709,0.10763604476198113,0.1114118020029068,4.022206687954529,19.489104240646988,0.4986048250450918,0.2247999175483099,0.298157367790516,-0.7096059797312217,11.54134184595919,0.014106185198637218,6.01924,10.78477,6.89233,13.72537,1.66093,2.29066,1.79505,2.65411,0.47078,0.38459,0.45627,0.32847,0.0309,0.02642,0.02999,0.02405,0.99908,0.99834,0.99894,0.99789,0.00095,0.0007,0.0009,0.00058
aug_0_1150.jpg,Cloudy,0,500,309,1.62,False,21.10336569579288,29.253971185055196,0,252,2.2947175367495154,6.678460338874965,0.03936,0.00845,0.00542,0.00355,0.00263,0.00153,0.00079,0.0003,0.00017,0.00017,0.00016,0.00014,7e-05,0.0,0.0,0.0,32.710466019417474,31.008319092172417,0,254,1.674192046498612,3.86477486017493,0.01957,0.01948,0.00851,0.00587,0.00371,0.00277,0.00139,0.00061,0.0002,0.0002,0.00016,0.00018,8e-05,1e-05,0.0,0.0,49.478252427184465,35.6886984484723,0,255,1.0111472415830258,1.6047851217703188,0.01048,0.00846,0.01638,0.00908,0.00716,0.00412,0.00333,0.00201,0.0008,0.00026,0.0002,0.00019,0.00019,8e-05,0.0,0.0,0.5480258304836354,0.17623927208842186,-2.6740986800110296,5.514616701071414,0.6349530014566053,0.3011996842459026,-0.746607746641478,-0.5274868716235188,0.19411183450726568,0.13985131489952465,1.0146631629177392,1.6110186637897703,10.230731621150118,0.017343278147535668,32.82744,76.61809,84.39492,121.34086,1.81152,3.25591,3.32401,4.13962,0.61994,0.50571,0.54908,0.47464,0.10043,0.08883,0.09433,0.08695,0.9827,0.95967,0.95553,0.93613,0.01009,0.00789,0.0089,0.00756
aug_0_1422.jpg,Cloudy,0,800,600,1.33,False,139.56693125,38.53228585927789,10,255,-0.14938945691615343,-0.14808771899712392,0.0,5e-05,0.00032,0.00144,0.00321,0.00429,0.00504,0.00716,0.01005,0.0122,0.0091,0.00491,0.0026,0.00149,0.00071,0.00018,138.8253125,40.105043179680166,1,255,-0.3914163645199134,-0.04839950028802997,2e-05,0.00019,0.0008,0.00208,0.00331,0.00425,0.00389,0.00484,0.01119,0.01371,0.00826,0.00552,0.00253,0.00151,0.00053,0.00012,125.06774791666666,67.10155949978451,0,252,-0.35600787524319194,-1.5231265107382868,0.00146,0.0045,0.00752,0.00662,0.00293,0.00109,0.00071,0.00096,0.00253,0.0049,0.00729,0.01245,0.00786,0.00164,0.00025,1e-05,0.40010997732759473,0.2842561181860112,0.20831782236231836,-1.6267523710313878,0.3003144691655958,0.2576225160141699,0.580627396211637,-0.9667228687178042,0.5927110130718954,0.1669974377593772,-0.5533690251333916,-0.5107739824638782,14.84329529893763,0.02836159882577933,66.72403,99.16774,60.7559,119.49951,4.28506,5.84874,4.42511,6.23232,0.38675,0.27295,0.34556,0.26887,0.03329,0.02473,0.0283,0.02455,0.97992,0.97014,0.98171,0.96402,0.00111,0.00061,0.0008,0.0006
aug_0_1556.jpg,Cloudy,0,270,178,1.52,False,59.885393258426966,44.47157553900116,0,255,1.9002362508600443,5.256139066226737,0.00773,0.00596,0.01662,0.01012,0.00559,0.00802,0.00376,0.00191,0.00041,0.0003,0.00028,0.00026,0.00018,0.00018,0.00042,0.00102,71.64862671660424,40.16844613506481,0,255,1.1341074239578655,2.250418030932975,0.00237,0.00825,0.00442,0.0147,0.0112,0.00616,0.00819,0.00302,0.00176,0.00044,0.00042,0.00028,0.00035,0.00107,0.0001,1e-05,70.78079483978361,36.58955621036123,0,228,0.3171411472531425,-0.18440375500072514,0.00419,0.00707,0.00414,0.00963,0.01529,0.00655,0.00819,0.00304,0.00225,0.0016,0.00066,9e-05,3e-05,1e-05,0.0,0.0,0.47415290314914504,0.1146095374782746,-2.107734156387492,5.07566073133251,0.29150771831076044,0.1758907989622315,1.5838830555220555,3.508166759039641,0.293734302709848,0.17097222395223383,1.419262803122582,3.5764453184288447,11.311795547151956,0.01710933129287913,15.00386,76.44057,74.42438,93.30803,1.62556,3.10573,2.78671,3.53548,0.55502,0.44001,0.50748,0.4115,0.04928,0.04154,0.04738,0.03898,0.99542,0.97672,0.97744,0.97159,0.00243,0.00173,0.00224,0.00152
aug_0_1664.jpg,Cloudy,0,900,676,1.33,False,81.98823471400395,55.509591896757044,0,255,1.4654167836669867,1.5369125753454265,0.00045,0.00506,0.0134,0.01289,0.00772,0.006,0.00396,0.00286,0.00194,0.00154,0.00122,0.00109,0.00089,0.00101,0.00106,0.00166,82.11163379355688,35.543865261835194,13,255,1.2532478712552735,2.39003502309275,0.0,0.00079,0.00778,0.01325,0.01328,0.00942,0.00647,0.00501,0.00325,0.00164,0.00067,0.00035,0.0003,0.00019,0.00014,0.00021,83.48861439842209,26.890603833125216,20,255,0.8323408039884345,1.7318670284204503,0.0,0.00021,0.00445,0.00943,0.01631,0.01429,0.00941,0.00475,0.00224,0.00099,0.00039,0.00013,4e-05,3e-05,4e-05,2e-05,0.4113262682355316,0.23503595890233053,-0.6055780127324205,-1.4381104096973532,0.334213396103033,0.17394646181015902,0.024815978234667933,-0.8154025401988463,0.3945157275270397,0.18847368060542521,1.4268391432530823,1.7829176523291697,13.851177786002873,0.01965355222899982,16.86425,43.15338,36.63224,55.12797,1.63598,3.37412,3.28157,3.91474,0.55842,0.35637,0.36667,0.32381,0.04604,0.03151,0.03197,0.02914,0.99411,0.98493,0.98721,0.98074,0.00212,0.00099,0.00102,0.00085
aug_0_1922.jpg,Cloudy,0,284,160,1.77,False,89.77101672535211,45.144671210088276,0,255,1.54360690872371,1.967307961298376,0.00013,0.00043,0.00303,0.01629,0.01647,0.00707,0.00494,0.00439,0.00242,0.00148,0.00131,0.0012,0.0014,0.00099,0.00063,0.00057,88.41489876760564,43.347764847651455,0,255,1.5769149495126997,2.145667341553702,0.00014,0.00039,0.00298,0.01689,0.01651,0.00711,0.00541,0.00401,0.00221,0.00134,0.0013,0.00131,0.00142,0.00085,0.00046,0.00043,72.34911971830986,39.46870182208782,0,249,1.6261474126567053,2.8134262373875574,0.00102,0.00245,0.01159,0.02007,0.00982,0.0058,0.00366,0.00208,0.00142,0.00137,0.00138,0.00098,0.00043,0.00033,0.00027,8e-05,0.16670481801043882,0.03287826353451709,2.3574907401636627,38.3520404140689,0.2104005312184369,0.12741876405014116,1.8855815194303989,4.180825843871944,0.35482135459817726,0.17576064349883072,1.5573155109903576,2.0150765165686337,11.418407358337571,0.033796803788875035,21.89103,198.18741,151.37898,129.93424,2.42778,7.39625,6.32888,6.00024,0.48289,0.28531,0.33273,0.31037,0.0516,0.03587,0.04148,0.03727,0.9942,0.94769,0.96002,0.9657,0.00266,0.00129,0.00172,0.00139
aug_0_245.jpg,Cloudy,0,800,500,1.6,False,118.6844175,38.13347722389992,0,255,-0.19571338245182018,1.4930033942850773,0.00136,0.00086,0.00041,0.00035,0.00428,0.00927,0.00592,0.01179,0.0168,0.00524,0.0029,0.00158,0.00079,0.00046,0.00044,0.00029,126.2401875,37.040271563054766,0,253,-0.47614294069450674,2.043613064149447,0.00115,0.00093,0.00047,0.00034,0.00248,0.00426,0.00851,0.00803,0.02127,0.00775,0.00337,0.00203,0.00091,0.00051,0.00042,0.00032,127.293365,36.59725040186455,0,244,-0.8629963574711024,2.06488766141804,0.00139,0.00083,0.00041,0.00033,0.00216,0.0044,0.00753,0.00836,0.0178,0.01184,0.00404,0.00197,0.00085,0.00052,0.00031,0.0,0.49653611775834383,0.1239563911491587,-1.4593191144590314,2.0165757006006,0.0952777206810158,0.06929389170990706,4.622978106468134,44.947092455707335,0.5050553137254902,0.1460122494268313,-0.6013669007083289,2.096404725280073,11.903822665639188,0.011538045170225705,25.46684,40.12841,20.80585,40.98406,1.67537,2.35006,1.62807,2.32661,0.63305,0.50846,0.60457,0.51765,0.06862,0.05566,0.06397,0.05659,0.99079,0.98547,0.99247,0.98516,0.00471,0.0031,0.00409,0.0032
aug_0_2930.jpg,Cloudy,0,284,177,1.6,False,127.05651706851278,65.07253948466325,0,247,-0.05141408633194165,-1.3462105638483195,0.00197,0.00125,0.00171,0.01026,0.00655,0.00407,0.0021,0.00306,0.00303,0.00403,0.00462,0.0052,0.00708,0.00572,0.00201,0.0001,155.21206334049495,50.42279456832061,48,255,0.049621350706748384,-1.4020602617513287,0.0,0.0,0.0,0.0002,0.00192,0.00361,0.01274,0.00682,0.00338,0.00386,0.00446,0.00531,0.00679,0.0083,0.00456,0.00077,184.26255271743455,34.04078177026171,78,255,0.1273351233028539,-1.0894142026941211,0.0,0.0,0.0,0.0,0.0,8e-05,0.00014,0.00116,0.00389,0.0139,0.01065,0.00646,0.00682,0.00865,0.00833,0.00267,0.5814167146335665,0.014701610468798114,-1.5642096565149952,14.515457228817901,0.35271281666310744,0.2496315346851887,0.5336290015694782,-0.811896606867589,0.7226072174712169,0.13350506198352463,0.12747776677803607,-1.0893746427255706,12.060383596340184,0.02875289992505304,45.18684,101.75622,72.3636,116.63058,3.34116,5.20186,4.31042,5.55863,0.44786,0.36645,0.41939,0.34944,0.04967,0.04274,0.04661,0.04269,0.99174,0.98137,0.98675,0.97864,0.00247,0.00183,0.00217,0.00182
aug_0_3157.jpg,Cloudy,0,283,177,1.6,False,94.55576850132758,44.4388566617962,12,255,0.7873301048670803,0.032403063185812986,0.0,0.00079,0.00688,0.01072,0.01072,0.00656,0.00638,0.00661,0.00553,0.00254,0.00192,0.00167,0.00135,0.00085,0.00018,6e-05,95.98285121079635,39.52909972266649,4,241,0.79531476260172,0.13004926816136209,2e-05,0.00028,0.00303,0.01079,0.0131,0.00814,0.0069,0.00724,0.0059,0.00243,0.00183,0.00136,0.00132,0.00035,7e-05,0.0,87.97622327364198,44.514070126186354,0,232,0.18043287401099736,-0.5614245351820584,0.00264,0.00434,0.00663,0.0057,0.00853,0.00718,0.00781,0.00753,0.00586,0.00266,0.00192,0.0013,0.00055,9e-05,0.0,0.0,0.274633219476333,0.22010851434760667,0.8168487154165304,-0.7415323751630929,0.2389755637238857,0.2365001442107149,1.275399243471988,0.9120888230911364,0.40427707846229666,0.16136651789265077,0.7282483525404612,0.11853946430018514,13.227312830305909,0.02497859690063006,21.4051,72.11879,71.71125,98.76398,2.33401,4.38334,4.33966,5.32278,0.47339,0.32699,0.35527,0.296,0.03919,0.0302,0.03158,0.02795,0.99341,0.97778,0.97789,0.96957,0.00154,0.00091,0.001,0.00078
